name,id,type,substitutionGroup,balance,abstract,nillable
OtherSustainabilityMatterMember,,dtr-types:domainItemType,,,,
DisclosureRequirementsMember,,dtr-types:domainItemType,,,,
MinimumDisclosureRequirementTargetsMdrtTrackingEffectivenessOfPoliciesAndActionsThroughTargetsMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE4RelatedToESRS2Iro1DescriptionOfProcessesToIdentifyAndAssessMaterialBiodiversityAndEcosystemrelatedImpactsRisksAndOpportunitiesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS13ProcessesToRemediateNegativeImpactsAndChannelsForOwnWorkersToRaiseConcernsMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE11TransitionPlanForClimateChangeMitigationMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE12PoliciesRelatedToClimateChangeMitigationAndAdaptationMember,,dtr-types:domainItemType,,,,
MinimumDisclosureRequirementPoliciesMdrpPoliciesAdoptedToManageMaterialSustainabilityMattersMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS3RelatedToESRS2Sbm2InterestsAndViewsOfStakeholdersMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS113TrainingAndSkillsDevelopmentMetricsMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS114HealthAndSafetyMetricsMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE33TargetsRelatedToWaterAndMarineResourcesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE31PoliciesRelatedToWaterAndMarineResourcesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementG15PoliticalInfluenceAndLobbyingActivitiesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS34TakingActionOnMaterialImpactsOnAffectedCommunitiesAndApproachesToManagingMaterialRisksAndPursuingMaterialOpportunitiesRelatedToAffectedCommunitiesAndEffectivenessOfThoseActionsMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE4RelatedToESRS2Sbm3MaterialImpactsRisksAndOpportunitiesAndTheirInteractionWithStrategyAndBusinessModelMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE46AnticipatedFinancialEffectsFromBiodiversityAndEcosystemrelatedRisksAndOpportunitiesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementGov5RiskManagementAndInternalControlsOverSustainabilityReportingMember,,dtr-types:domainItemType,,,,
DisclosureRequirementIro2DisclosureRequirementsInESRSCoveredByUndertakingSSustainabilityStatementMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS11PoliciesRelatedToOwnWorkforceMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS33ProcessesToRemediateNegativeImpactsAndChannelsForAffectedCommunitiesToRaiseConcernsMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE35AnticipatedFinancialEffectsFromWaterAndMarineResourcesrelatedImpactsRisksAndOpportunitiesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS42ProcessesForEngagingWithConsumersAndEndusersAboutImpactsMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS1RelatedToESRS2Sbm3MaterialImpactsRisksAndOpportunitiesAndTheirInteractionWithStrategyAndBusinessModelMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS2RelatedToESRS2Sbm3MaterialImpactsRisksAndOpportunitiesAndTheirInteractionWithStrategyAndBusinessModelMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS44TakingActionOnMaterialImpactsOnConsumersAndEndusersAndApproachesToManagingMaterialRisksAndPursuingMaterialOpportunitiesRelatedToConsumersAndEndusersAndEffectivenessOfThoseActionsMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE54ResourceInflowsMember,,dtr-types:domainItemType,,,,
DisclosureRequirementBp1GeneralBasisForPreparationOfSustainabilityStatementsMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE56AnticipatedFinancialEffectsFromResourceUseAndCircularEconomyrelatedImpactsRisksAndOpportunitiesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementIro1DescriptionOfProcessesToIdentifyAndAssessMaterialImpactsRisksAndOpportunitiesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS12ProcessesForEngagingWithOwnWorkersAndWorkersRepresentativesAboutImpactsMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS16CharacteristicsOfUndertakingSEmployeesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE55ResourceOutflowsMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE32ActionsAndResourcesRelatedToWaterAndMarineResourcesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE22ActionsAndResourcesRelatedToPollutionMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE34WaterConsumptionMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS14TakingActionOnMaterialImpactsOnOwnWorkforceAndApproachesToMitigatingMaterialRisksAndPursuingMaterialOpportunitiesRelatedToOwnWorkforceAndEffectivenessOfThoseActionsMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE43ActionsAndResourcesRelatedToBiodiversityAndEcosystemsMember,,dtr-types:domainItemType,,,,
DisclosureRequirementG14ConfirmedIncidentsOfCorruptionOrBriberyMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE14TargetsRelatedToClimateChangeMitigationAndAdaptationMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE41TransitionPlanAndConsiderationOfBiodiversityAndEcosystemsInStrategyAndBusinessModelMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE13ActionsAndResourcesInRelationToClimateChangePoliciesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE5RelatedToESRS2Iro1DescriptionOfProcessesToIdentifyAndAssessMaterialResourceUseAndCircularEconomyrelatedImpactsRisksAndOpportunitiesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS43ProcessesToRemediateNegativeImpactsAndChannelsForConsumersAndEndusersToRaiseConcernsMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS22ProcessesForEngagingWithValueChainWorkersAboutImpactsMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS110AdequateWagesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE1RelatedToESRS2Gov3IntegrationOfSustainabilityrelatedPerformanceInIncentiveSchemesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS111SocialProtectionMember,,dtr-types:domainItemType,,,,
ESRS2GeneralDisclosuresMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS4RelatedToESRS2Sbm3MaterialImpactsRisksAndOpportunitiesAndTheirInteractionWithStrategyAndBusinessModelMember,,dtr-types:domainItemType,,,,
DisclosureRequirementSbm2InterestsAndViewsOfStakeholdersMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS1RelatedToESRS2Sbm2InterestsAndViewsOfStakeholdersMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS45TargetsRelatedToManagingMaterialNegativeImpactsAdvancingPositiveImpactsAndManagingMaterialRisksAndOpportunitiesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementG13PreventionAndDetectionOfCorruptionAndBriberyMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS21PoliciesRelatedToValueChainWorkersMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS32ProcessesForEngagingWithAffectedCommunitiesAboutImpactsMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE3RelatedToESRS2Iro1DescriptionOfProcessesToIdentifyAndAssessMaterialWaterAndMarineResourcesrelatedImpactsRisksAndOpportunitiesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS117IncidentsComplaintsAndSevereHumanRightsImpactsMember,,dtr-types:domainItemType,,,,
MinimumDisclosureRequirementActionsMdraActionsAndResourcesInRelationToMaterialSustainabilityMattersMember,,dtr-types:domainItemType,,,,
DisclosureRequirementGov3IntegrationOfSustainabilityrelatedPerformanceInIncentiveSchemesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementSbm1StrategyBusinessModelAndValueChainMember,,dtr-types:domainItemType,,,,
DisclosureRequirementGov4StatementOnDueDiligenceMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE1RelatedToESRS2Iro1DescriptionOfProcessesToIdentifyAndAssessMaterialClimaterelatedImpactsRisksAndOpportunitiesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE51PoliciesRelatedToResourceUseAndCircularEconomyMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS35TargetsRelatedToManagingMaterialNegativeImpactsAdvancingPositiveImpactsAndManagingMaterialRisksAndOpportunitiesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE21PoliciesRelatedToPollutionMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS24TakingActionOnMaterialImpactsOnValueChainWorkersAndApproachesToManagingMaterialRisksAndPursuingMaterialOpportunitiesRelatedToValueChainWorkersAndEffectivenessOfThoseActionsMember,,dtr-types:domainItemType,,,,
DisclosureRequirementG1RelatedToESRS2Iro1DescriptionOfProcessesToIdentifyAndAssessMaterialImpactsRisksAndOpportunitiesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE19AnticipatedFinancialEffectsFromMaterialPhysicalAndTransitionRisksAndPotentialClimaterelatedOpportunitiesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS17CharacteristicsOfNonemployeeWorkersInUndertakingSOwnWorkforceMember,,dtr-types:domainItemType,,,,
DisclosureRequirementG1RelatedToESRS2Gov1RoleOfAdministrativeSupervisoryAndManagementBodiesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE53TargetsRelatedToResourceUseAndCircularEconomyMember,,dtr-types:domainItemType,,,,
MinimumDisclosureRequirementMetricsMdrmMetricsInRelationToMaterialSustainabilityMattersMember,,dtr-types:domainItemType,,,,
DisclosureRequirementSbm3MaterialImpactsRisksAndOpportunitiesAndTheirInteractionWithStrategyAndBusinessModelMember,,dtr-types:domainItemType,,,,
DisclosureRequirementGov2InformationProvidedToAndSustainabilityMattersAddressedByUndertakingSAdministrativeManagementAndSupervisoryBodiesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE23TargetsRelatedToPollutionMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS25TargetsRelatedToManagingMaterialNegativeImpactsAdvancingPositiveImpactsAndManagingMaterialRisksAndOpportunitiesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS31PoliciesRelatedToAffectedCommunitiesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE1RelatedToESRS2Sbm3MaterialImpactsRisksAndOpportunitiesAndTheirInteractionWithStrategyAndBusinessModelMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS23ProcessesToRemediateNegativeImpactsAndChannelsForValueChainWorkersToRaiseConcernsMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE2RelatedToESRS2Iro1DescriptionOfProcessesToIdentifyAndAssessMaterialPollutionrelatedImpactsRisksAndOpportunitiesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE26AnticipatedFinancialEffectsFromPollutionrelatedImpactsRisksAndOpportunitiesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS41PoliciesRelatedToConsumersAndEndusersMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS18CollectiveBargainingCoverageAndSocialDialogueMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE25SubstancesOfConcernAndSubstancesOfVeryHighConcernMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS2RelatedToESRS2Sbm2InterestsAndViewsOfStakeholdersMember,,dtr-types:domainItemType,,,,
DisclosureRequirementG12ManagementOfRelationshipsWithSuppliersMember,,dtr-types:domainItemType,,,,
DisclosureRequirementGov1RoleOfAdministrativeManagementAndSupervisoryBodiesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS3RelatedToESRS2Sbm3MaterialImpactsRisksAndOpportunitiesAndTheirInteractionWithStrategyAndBusinessModelMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS115WorklifeBalanceMetricsMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE42PoliciesRelatedToBiodiversityAndEcosystemsMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE15EnergyConsumptionAndMixMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE52ActionsAndResourcesRelatedToResourceUseAndCircularEconomyMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS4RelatedToESRS2Sbm2InterestsAndViewsOfStakeholdersMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE18InternalCarbonPricingMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS112PersonsWithDisabilitiesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementBp2DisclosuresInRelationToSpecificCircumstancesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementG16PaymentPracticesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS116CompensationMetricsPayGapAndTotalCompensationMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE44TargetsRelatedToBiodiversityAndEcosystemsMember,,dtr-types:domainItemType,,,,
DisclosureRequirementG11CorporateCultureAndBbusinessConductPoliciesAndCorporateCultureMember,,dtr-types:domainItemType,,,,
DisclosureRequirementE24PollutionOfAirWaterAndSoilMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS15TargetsRelatedToManagingMaterialNegativeImpactsAdvancingPositiveImpactsAndManagingMaterialRisksAndOpportunitiesMember,,dtr-types:domainItemType,,,,
DisclosureRequirementS19DiversityMetricsMember,,dtr-types:domainItemType,,,,
RestatedCorrectedOrRevisedMember,,dtr-types:domainItemType,,,,
MaximumValueMember,,dtr-types:domainItemType,,,,
MinimumValueMember,,dtr-types:domainItemType,,,,
EstimatedValueMember,,dtr-types:domainItemType,,,,
OtherScope3GreenhouseGasEmissionsMember,,dtr-types:domainItemType,,,,
BasisForDeterminationOfWorkingConditionsAndTermsOfEmploymentForEmployeesNotCoveredByCollectiveBargainingAgreementsMember,,dtr-types:domainItemType,,,,
CollectiveBargainingAgreementsFromOtherUndertakingsMember,,dtr-types:domainItemType,,,,
CollectiveBargainingAgreementsThatCoverOtherEmployeesMember,,dtr-types:domainItemType,,,,
AccessibilityOfThirdPartyMechanismsMember,,dtr-types:domainItemType,,,,
IndividualsOrOrganisationsActingOnConsumersAndEndusersBehalfOrWhoAreOtherwiseInPositionToBeAwareOfNegativeImpactsMember,,dtr-types:domainItemType,,,,
IndividualsOrOrganisationsActingOnAffectedCommunitiesBehalfOrWhoAreOtherwiseInPositionToBeAwareOfNegativeImpactsMember,,dtr-types:domainItemType,,,,
IndividualsOrOrganisationsActingOnValueChainWorkersBehalfOrWhoAreOtherwiseInPositionToBeAwareOfNegativeImpactsMember,,dtr-types:domainItemType,,,,
IndividualsOrOrganisationsActingOnOwnWorkforceBehalfOrWhoAreOtherwiseInPositionToBeAwareOfNegativeImpactsMember,,dtr-types:domainItemType,,,,
AllConsumersAndEndusersWhoMayBePotentiallyOrActuallyMateriallyImpactedMember,,dtr-types:domainItemType,,,,
AllAffectedCommunitiesWhoMayBePotentiallyOrActuallyMateriallyImpactedMember,,dtr-types:domainItemType,,,,
AllValueChainWorkersWhoMayBePotentiallyOrActuallyMateriallyImpactedMember,,dtr-types:domainItemType,,,,
AllOwnWorkforceMember,,dtr-types:domainItemType,,,,
EstablishedThroughParticipationInThirdpartyMechanismsMember,,dtr-types:domainItemType,,,,
EstablishedByUndertakingMember,,dtr-types:domainItemType,,,,
EstablishmentOfSpecificChannelsToRaiseConcernsOrNeedsMember,,dtr-types:domainItemType,,,,
GroupsForWhichEngagementOccursMember,,dtr-types:domainItemType,,,,
ConsumersAndEndusersMember,,dtr-types:domainItemType,,,,
AffectedCommunitiesMember,,dtr-types:domainItemType,,,,
CredibleProxiesMember,,dtr-types:domainItemType,,,,
ValueChainWorkersMember,,dtr-types:domainItemType,,,,
LegitimateRepresentativesMember,,dtr-types:domainItemType,,,,
OwnWorkforceMember,,dtr-types:domainItemType,,,,
NegativeImpactMember,,dtr-types:domainItemType,,,,
PositiveImpactMember,,dtr-types:domainItemType,,,,
Scope3GHGEmissionsCategoryISO140641Member,,dtr-types:domainItemType,,,,
ExpertJudgementMember,,dtr-types:domainItemType,,,,
SecondaryDataMember,,dtr-types:domainItemType,,,,
PrimaryDataMember,,dtr-types:domainItemType,,,,
ModellingMember,,dtr-types:domainItemType,,,,
CalculationMember,,dtr-types:domainItemType,,,,
ReclaimingAndReuseOfWaterMember,,dtr-types:domainItemType,,,,
ProductionMember,,dtr-types:domainItemType,,,,
TypeOfCarbonCreditsFromRemovalProjectsMember,,dtr-types:domainItemType,,,,
TypeOfRemovalAndStorageMember,,dtr-types:domainItemType,,,,
HybridMember,,dtr-types:domainItemType,,,,
BiogenicMember,,dtr-types:domainItemType,,,,
ApproximateValueOfGHGEmissionsCoveredByInternalCarbonPricingSchemeMember,,dtr-types:domainItemType,,,,
GHGEmissionsCoveredByInternalCarbonPricingSchemeMember,,dtr-types:domainItemType,,,,
Category6IndirectGHGEmissionsFromOtherSourcesMember,,dtr-types:domainItemType,,,,
Category5IndirectGHGEmissionsAssociatedWithUseOfProductsFromOrganizationMember,,dtr-types:domainItemType,,,,
Category42IndirectGHGEmissionsFromServicesUsedByOrganizationMember,,dtr-types:domainItemType,,,,
Category41IndirectGHGEmissionsFromGoodsPurchasedByOrganizationMember,,dtr-types:domainItemType,,,,
Category4IndirectGHGEmissionsFromProductsUsedByOrganizationMember,,dtr-types:domainItemType,,,,
Category3IndirectGHGEmissionsFromTransportationMember,,dtr-types:domainItemType,,,,
Category2IndirectGHGEmissionsFromImportedEnergyMember,,dtr-types:domainItemType,,,,
OtherDisposalMember,,dtr-types:domainItemType,,,,
LandfillMember,,dtr-types:domainItemType,,,,
IncinerationMember,,dtr-types:domainItemType,,,,
TypeOfWasteTreatmentMember,,dtr-types:domainItemType,,,,
TypeOfRecoveryOperationsMember,,dtr-types:domainItemType,,,,
TypeOfWasteMember,,dtr-types:domainItemType,,,,
NonhazardousWasteMember,,dtr-types:domainItemType,,,,
HazardousWasteMember,,dtr-types:domainItemType,,,,
PartialDirectMeasurementOrEstimationMember,,dtr-types:domainItemType,,,,
DataSourcesMember,,dtr-types:domainItemType,,,,
EstimationMember,,dtr-types:domainItemType,,,,
DirectMeasurementMember,,dtr-types:domainItemType,,,,
C1419,,dtr-types:domainItemType,,,,
A0142,,dtr-types:domainItemType,,,,
C268,,dtr-types:domainItemType,,,,
F439,,dtr-types:domainItemType,,,,
C1032,,dtr-types:domainItemType,,,,
C3020,,dtr-types:domainItemType,,,,
C236,,dtr-types:domainItemType,,,,
H5030,,dtr-types:domainItemType,,,,
C29,,dtr-types:domainItemType,,,,
C1103,,dtr-types:domainItemType,,,,
C261,,dtr-types:domainItemType,,,,
F4321,,dtr-types:domainItemType,,,,
C2391,,dtr-types:domainItemType,,,,
C293,,dtr-types:domainItemType,,,,
G4613,,dtr-types:domainItemType,,,,
H,,dtr-types:domainItemType,,,,
C284,,dtr-types:domainItemType,,,,
G4773,,dtr-types:domainItemType,,,,
C133,,dtr-types:domainItemType,,,,
C1721,,dtr-types:domainItemType,,,,
C1039,,dtr-types:domainItemType,,,,
H491,,dtr-types:domainItemType,,,,
C2540,,dtr-types:domainItemType,,,,
C1396,,dtr-types:domainItemType,,,,
C2652,,dtr-types:domainItemType,,,,
F4211,,dtr-types:domainItemType,,,,
C252,,dtr-types:domainItemType,,,,
E3700,,dtr-types:domainItemType,,,,
G4645,,dtr-types:domainItemType,,,,
C142,,dtr-types:domainItemType,,,,
C1712,,dtr-types:domainItemType,,,,
C245,,dtr-types:domainItemType,,,,
C2849,,dtr-types:domainItemType,,,,
A0149,,dtr-types:domainItemType,,,,
G4661,,dtr-types:domainItemType,,,,
F432,,dtr-types:domainItemType,,,,
C2920,,dtr-types:domainItemType,,,,
G4764,,dtr-types:domainItemType,,,,
C1073,,dtr-types:domainItemType,,,,
A0220,,dtr-types:domainItemType,,,,
C108,,dtr-types:domainItemType,,,,
C2311,,dtr-types:domainItemType,,,,
B0910,,dtr-types:domainItemType,,,,
C2446,,dtr-types:domainItemType,,,,
G4636,,dtr-types:domainItemType,,,,
B0990,,dtr-types:domainItemType,,,,
G4723,,dtr-types:domainItemType,,,,
G464,,dtr-types:domainItemType,,,,
C275,,dtr-types:domainItemType,,,,
D3511,,dtr-types:domainItemType,,,,
H51,,dtr-types:domainItemType,,,,
A012,,dtr-types:domainItemType,,,,
C181,,dtr-types:domainItemType,,,,
A0126,,dtr-types:domainItemType,,,,
C2572,,dtr-types:domainItemType,,,,
G4622,,dtr-types:domainItemType,,,,
C31,,dtr-types:domainItemType,,,,
C20,,dtr-types:domainItemType,,,,
C332,,dtr-types:domainItemType,,,,
C3311,,dtr-types:domainItemType,,,,
G4741,,dtr-types:domainItemType,,,,
C2453,,dtr-types:domainItemType,,,,
C13,,dtr-types:domainItemType,,,,
C2352,,dtr-types:domainItemType,,,,
B0812,,dtr-types:domainItemType,,,,
C2341,,dtr-types:domainItemType,,,,
E382,,dtr-types:domainItemType,,,,
C2824,,dtr-types:domainItemType,,,,
C101,,dtr-types:domainItemType,,,,
A0119,,dtr-types:domainItemType,,,,
C2222,,dtr-types:domainItemType,,,,
G4789,,dtr-types:domainItemType,,,,
C2020,,dtr-types:domainItemType,,,,
G4677,,dtr-types:domainItemType,,,,
C2611,,dtr-types:domainItemType,,,,
C206,,dtr-types:domainItemType,,,,
B0892,,dtr-types:domainItemType,,,,
C3299,,dtr-types:domainItemType,,,,
C1101,,dtr-types:domainItemType,,,,
C325,,dtr-types:domainItemType,,,,
B0610,,dtr-types:domainItemType,,,,
B08,,dtr-types:domainItemType,,,,
H532,,dtr-types:domainItemType,,,,
C1813,,dtr-types:domainItemType,,,,
E37,,dtr-types:domainItemType,,,,
G4615,,dtr-types:domainItemType,,,,
C192,,dtr-types:domainItemType,,,,
C2361,,dtr-types:domainItemType,,,,
C291,,dtr-types:domainItemType,,,,
G475,,dtr-types:domainItemType,,,,
C266,,dtr-types:domainItemType,,,,
H512,,dtr-types:domainItemType,,,,
A017,,dtr-types:domainItemType,,,,
C2899,,dtr-types:domainItemType,,,,
A021,,dtr-types:domainItemType,,,,
H49,,dtr-types:domainItemType,,,,
G4643,,dtr-types:domainItemType,,,,
G4711,,dtr-types:domainItemType,,,,
G4663,,dtr-types:domainItemType,,,,
G4652,,dtr-types:domainItemType,,,,
C1091,,dtr-types:domainItemType,,,,
C234,,dtr-types:domainItemType,,,,
C254,,dtr-types:domainItemType,,,,
B099,,dtr-types:domainItemType,,,,
F4110,,dtr-types:domainItemType,,,,
C243,,dtr-types:domainItemType,,,,
A0321,,dtr-types:domainItemType,,,,
F421,,dtr-types:domainItemType,,,,
C131,,dtr-types:domainItemType,,,,
C1723,,dtr-types:domainItemType,,,,
F4399,,dtr-types:domainItemType,,,,
G4791,,dtr-types:domainItemType,,,,
C1082,,dtr-types:domainItemType,,,,
C1071,,dtr-types:domainItemType,,,,
E370,,dtr-types:domainItemType,,,,
G4775,,dtr-types:domainItemType,,,,
C2313,,dtr-types:domainItemType,,,,
