code,label_en,datatype,mandatory
2-MDR-Disclosures to be reported in case the undertaking has not adopted policies and/or actions or set any measurable outcome-oriented targets [see chapter 4.2 MDR - ESRS 2],Disclosures to be reported in case the undertaking has not adopted policies and/or actions or set any measurable outcome-oriented targets [see chapter 4.2 MDR - ESRS 2],narrative,true
2-MDR-MDR-A_01,Disclosure of key action,narrative,true
2-MDR-MDR-A_02,Description of scope of key action,narrative,true
2-MDR-MDR-A_03,Time horizon under which key action is to be completed,narrative,true
2-MDR-MDR-A_04,"Description of key action taken, and its results, to provide for and cooperate in or support provision of remedy for those harmed by actual material impacts",narrative,true
2-MDR-MDR-A_05,Disclosure of quantitative and qualitative information regarding progress of actions or action plans disclosed in prior periods,narrative,true
2-MDR-MDR-A_06,Disclosure of the type of current and future financial and other resources allocated to the action plan (Capex and Opex),narrative,true
2-MDR-MDR-A_07,Explanation of how current financial resources relate to most relevant amounts presented in financial statements,narrative,true
2-MDR-MDR-A_08,"Current and future financial resources allocated to action plan, breakdown by time horizon and resources",narrative,true
2-MDR-MDR-A_09,Current financial resources allocated to action plan (Capex),narrative,true
2-MDR-MDR-A_10,Current financial resources allocated to action plan (Opex),narrative,true
2-MDR-MDR-A_11,Future financial resources allocated to action plan (Capex),narrative,true
2-MDR-MDR-A_12,Future financial resources allocated to action plan (Opex),narrative,true
2-MDR-MDR-A_13,Disclosure of reasons for not having adopted actions,narrative,true
2-MDR-MDR-A_14,Disclosure of timeframe in which the undertakings aims to adopt actions,narrative,true
2-MDR-MDR-M_01,"Description of metric used to evaluate performance and effectiveness, in relation to material impact, risk or opportunity",narrative,true
2-MDR-MDR-M_02,Disclosure of methodologies and significant assumptions behind metric,narrative,true
2-MDR-MDR-M_03,Type of external body other than assurance provider that provides validation,narrative,true
2-MDR-MDR-P_01,Description of key contents of policy,narrative,true
2-MDR-MDR-P_02,Description of scope of policy or of its exclusions,narrative,true
2-MDR-MDR-P_03,Description of most senior level in organisation that is accountable for implementation of policy,narrative,true
2-MDR-MDR-P_04,Disclosure of third-party standards or initiatives that are respected through implementation of policy,narrative,true
2-MDR-MDR-P_05,Description of consideration given to interests of key stakeholders in setting policy,narrative,true
2-MDR-MDR-P_06,Explanation of whether and how policy is made available to potentially affected stakeholders and stakeholders who need to help implement it,narrative,true
2-MDR-MDR-P_07,Disclosure of reasons for not having adopted policies,narrative,true
2-MDR-MDR-P_08,Disclosure of timeframe in which the undertakings aims to adopt policies,narrative,true
2-MDR-MDR-T_01,Relationship with policy objectives,narrative,true
2-MDR-MDR-T_02,Measurable target,narrative,true
2-MDR-MDR-T_03,Nature of target,narrative,true
2-MDR-MDR-T_04,Description of scope of target,narrative,true
2-MDR-MDR-T_05,Baseline value,narrative,true
2-MDR-MDR-T_06,Baseline year,narrative,true
2-MDR-MDR-T_07,Period to which target applies,narrative,true
2-MDR-MDR-T_08,Indication of milestones or interim targets,narrative,true
2-MDR-MDR-T_09,Description of methodologies and significant assumptions used to define target,narrative,true
2-MDR-MDR-T_10,Target related to environmental matters is based on conclusive scientific evidence,narrative,true
2-MDR-MDR-T_11,Disclosure of whether and how stakeholders have been involved in target setting,narrative,true
2-MDR-MDR-T_12,"Description of any changes in target and corresponding metrics or underlying measurement methodologies, significant assumptions, limitations, sources and adopted processes to collect data",narrative,true
2-MDR-MDR-T_13,Description of performance against disclosed target,narrative,true
2-MDR-MDR-T_14,Disclosure of timeframe for setting of measurable outcome-oriented targets,narrative,true
2-MDR-MDR-T_15,Description of reasons why there are no plans to set measurable outcome-oriented targets,narrative,true
2-MDR-MDR-T_16,"Effectiveness of policies and actions is tracked in relation to material sustainability-related impact, risk and opportunity",narrative,true
2-MDR-MDR-T_17,"Description of processes through which effectiveness of policies and actions is tracked in relation to material sustainability-related impact, risk and opportunity",narrative,true
2-MDR-MDR-T_18,Description of defined level of ambition to be achieved and of any qualitative or quantitative indicators used to evaluate progress,narrative,true
2-MDR-MDR-T_19,Base year from which progress is measured,narrative,true
BP-1_01,Basis for preparation of sustainability statement,narrative,true
BP-1_02,Scope of consolidation of consolidated sustainability statement is same as for financial statements,narrative,false
BP-1_03,Indication of subsidiary undertakings included in consolidation that are exempted from individual or consolidated sustainability reporting,narrative,false
BP-1_04,Disclosure of extent to which sustainability statement covers upstream and downstream value chain,narrative,true
BP-1_05,"Option to omit specific piece of information corresponding to intellectual property, know-how or results of innovation has been used",narrative,true
BP-1_06,Option allowed by Member State to omit disclosure of impending developments or matters in course of negotiation has been used,narrative,true
BP-2_01,Disclosure of definitions of medium- or long-term time horizons,narrative,false
BP-2_02,Disclosure of reasons for applying different definitions of time horizons,narrative,false
BP-2_03,Disclosure of metrics that include value chain data estimated using indirect sources,narrative,false
BP-2_04,Description of basis for preparation of metrics that include value chain data estimated using indirect sources,narrative,false
BP-2_05,Description of resulting level of accuracy of metrics that include value chain data estimated using indirect sources,narrative,false
BP-2_06,Description of planned actions to improve accuracy in future of metrics that include value chain data estimated using indirect sources,narrative,false
BP-2_07,Disclosure of quantitative metrics and monetary amounts disclosed that are subject to high level of measurement uncertainty,narrative,true
BP-2_08,Disclosure of sources of measurement uncertainty,narrative,true
BP-2_09,"Disclosure of assumptions, approximations and judgements made in measurement",narrative,true
BP-2_10,Explanation of changes in preparation and presentation of sustainability information and reasons for them,narrative,false
BP-2_11,Adjustment of comparative information for one or more prior periods is impracticable,narrative,false
BP-2_12,Disclosure of difference between figures disclosed in preceding period and revised comparative figures,narrative,false
BP-2_13,Disclosure of nature of prior period material errors,narrative,false
BP-2_14,Disclosure of corrections for prior periods included in sustainability statement,narrative,false
BP-2_15,Disclosure of why correction of prior period errors is not practicable,narrative,false
BP-2_16,Disclosure of other legislation or generally accepted sustainability reporting standards and frameworks based on which information has been included in sustainability statement,narrative,false
BP-2_17,Disclosure of reference to paragraphs of standard or framework applied,narrative,false
BP-2_18,European standards approved by European Standardisation System (ISO/IEC or CEN/CENELEC standards) have been relied on,narrative,true
