code,label_en
E1-1,Transition plan for climate change mitigation
E1-2,Policies related to climate change mitigation and adaptation
E1-3,Actions and resources in relation to climate change policies
E1-4,Targets related to climate change mitigation and adaptation
E1-5,Energy consumption and mix
E1-6,"Gross Scopes 1, 2, 3 and Total GHG emissions"
E1-7,GHG removals and GHG mitigation projects financed through carbon credits
E1-8,Internal carbon pricing
E1-9,Financial effects from material physical and transition risks
E2-1,Disclosure Requirement E2-1
E2-2,Disclosure Requirement E2-2
E2-3,Disclosure Requirement E2-3
E2-4,Disclosure Requirement E2-4
E2-5,Disclosure Requirement E2-5
E2-6,Disclosure Requirement E2-6
E3-1,Disclosure Requirement E3-1
E3-2,Disclosure Requirement E3-2
E3-3,Disclosure Requirement E3-3
E3-4,Disclosure Requirement E3-4
E3-5,Disclosure Requirement E3-5
E4-1,Disclosure Requirement E4-1
E4-2,Disclosure Requirement E4-2
E4-3,Disclosure Requirement E4-3
E4-4,Disclosure Requirement E4-4
E4-5,Disclosure Requirement E4-5
E4-6,Disclosure Requirement E4-6
E4-7,Disclosure Requirement E4-7
E4-8,Disclosure Requirement E4-8
E5-1,Disclosure Requirement E5-1
E5-2,Disclosure Requirement E5-2
E5-3,Disclosure Requirement E5-3
E5-4,Disclosure Requirement E5-4
E5-5,Disclosure Requirement E5-5
E5-6,Disclosure Requirement E5-6
ESRS2-BP-1,Disclosure Requirement ESRS2-BP-1
ESRS2-GOV-1,"Role of administrative, management and supervisory bodies"
ESRS2-GOV-2,Information provided to sustainability bodies
ESRS2-GOV-3,Integration of sustainability-related performance in incentive schemes
ESRS2-GOV-4,Statement on due diligence
ESRS2-GOV-5,Principal adverse impacts on sustainability matters
ESRS2-IRO-1,"Processes to identify and assess material impacts, risks and opportunities"
ESRS2-IRO-2,Disclosure Requirements in ESRS covered by sustainability statement
ESRS2-MDR-A,Disclosure Requirement ESRS2-MDR-A
ESRS2-MDR-C,Disclosure Requirement ESRS2-MDR-C
ESRS2-MDR-D,Disclosure Requirement ESRS2-MDR-D
ESRS2-MDR-E,Disclosure Requirement ESRS2-MDR-E
ESRS2-MDR-F,Disclosure Requirement ESRS2-MDR-F
ESRS2-MDR-G,Disclosure Requirement ESRS2-MDR-G
ESRS2-MDR-H,Disclosure Requirement ESRS2-MDR-H
ESRS2-MDR-M,Disclosure Requirement ESRS2-MDR-M
ESRS2-MDR-P,Disclosure Requirement ESRS2-MDR-P
ESRS2-MDR-T,Disclosure Requirement ESRS2-MDR-T
ESRS2-SBM-1,"Market position, strategy, business models and value chain"
ESRS2-SBM-2,Interests and views of stakeholders
ESRS2-SBM-3,"Material impacts, risks and opportunities"
G1-1,Disclosure Requirement G1-1
G1-2,Disclosure Requirement G1-2
G1-3,Disclosure Requirement G1-3
G1-4,Disclosure Requirement G1-4
G1-5,Disclosure Requirement G1-5
G1-6,Disclosure Requirement G1-6
G1-7,Disclosure Requirement G1-7
S1-1,Disclosure Requirement S1-1
S1-10,Disclosure Requirement S1-10
S1-11,Disclosure Requirement S1-11
S1-12,Disclosure Requirement S1-12
S1-13,Disclosure Requirement S1-13
S1-14,Disclosure Requirement S1-14
S1-15,Disclosure Requirement S1-15
S1-16,Disclosure Requirement S1-16
S1-2,Disclosure Requirement S1-2
S1-3,Disclosure Requirement S1-3
S1-4,Disclosure Requirement S1-4
S1-5,Disclosure Requirement S1-5
S1-6,Disclosure Requirement S1-6
S1-7,Disclosure Requirement S1-7
S1-8,Disclosure Requirement S1-8
S1-9,Disclosure Requirement S1-9
S2-1,Disclosure Requirement S2-1
S2-2,Disclosure Requirement S2-2
S2-3,Disclosure Requirement S2-3
S2-4,Disclosure Requirement S2-4
S2-5,Disclosure Requirement S2-5
S2-6,Disclosure Requirement S2-6
S3-1,Disclosure Requirement S3-1
S3-2,Disclosure Requirement S3-2
S3-3,Disclosure Requirement S3-3
S3-4,Disclosure Requirement S3-4
S3-5,Disclosure Requirement S3-5
S4-1,Disclosure Requirement S4-1
S4-2,Disclosure Requirement S4-2
S4-3,Disclosure Requirement S4-3
S4-4,Disclosure Requirement S4-4
S4-5,Disclosure Requirement S4-5
S4-6,Disclosure Requirement S4-6
