code,label,datatype,mandatory,standard
BP-1_01,ESRS 2,string,True,ESRS 2
BP-1_02,ESRS 2,string,True,ESRS 2
BP-1_03,ESRS 2,string,True,ESRS 2
BP-1_04,ESRS 2,string,True,ESRS 2
BP-1_05,ESRS 2,string,True,ESRS 2
BP-1_06,ESRS 2,string,True,ESRS 2
BP-2_01,ESRS 2,string,True,ESRS 2
BP-2_02,ESRS 2,string,True,ESRS 2
BP-2_03,ESRS 2,string,True,ESRS 2
BP-2_04,ESRS 2,string,True,ESRS 2
BP-2_05,ESRS 2,string,True,ESRS 2
BP-2_06,ESRS 2,string,True,ESRS 2
BP-2_07,ESRS 2,string,True,ESRS 2
BP-2_08,ESRS 2,string,True,ESRS 2
BP-2_09,ESRS 2,string,True,ESRS 2
BP-2_10,ESRS 2,string,True,ESRS 2
BP-2_11,ESRS 2,string,True,ESRS 2
BP-2_12,ESRS 2,string,True,ESRS 2
BP-2_13,ESRS 2,string,True,ESRS 2
BP-2_14,ESRS 2,string,True,ESRS 2
BP-2_15,ESRS 2,string,True,ESRS 2
BP-2_16,ESRS 2,string,True,ESRS 2
BP-2_17,ESRS 2,string,True,ESRS 2
BP-2_18,ESRS 2,string,True,ESRS 2
BP-2_19,ESRS 2,string,True,ESRS 2
BP-2_20,ESRS 2,string,True,ESRS 2
BP-2_21,ESRS 2,string,True,ESRS 2
BP-2_22,ESRS 2,string,True,ESRS 2
BP-2_23,ESRS 2,string,True,ESRS 2
BP-2_24,ESRS 2,string,True,ESRS 2
BP-2_25,ESRS 2,string,True,ESRS 2
BP-2_26,ESRS 2,string,True,ESRS 2
BP-2_27,ESRS 2,string,True,ESRS 2
GOV-1_01,ESRS 2,string,True,ESRS 2
GOV-1_02,ESRS 2,string,True,ESRS 2
GOV-1_03,ESRS 2,string,True,ESRS 2
GOV-1_04,ESRS 2,string,True,ESRS 2
GOV-1_05,ESRS 2,string,True,ESRS 2
GOV-1_06,ESRS 2,string,True,ESRS 2
GOV-1_07,ESRS 2,string,True,ESRS 2
GOV-1_08,ESRS 2,string,True,ESRS 2
GOV-1_09,ESRS 2,string,True,ESRS 2
GOV-1_10,ESRS 2,string,True,ESRS 2
GOV-1_11,ESRS 2,string,True,ESRS 2
GOV-1_12,ESRS 2,string,True,ESRS 2
GOV-1_13,ESRS 2,string,True,ESRS 2
GOV-1_14,ESRS 2,string,True,ESRS 2
GOV-1_15,ESRS 2,string,True,ESRS 2
GOV-1_16,ESRS 2,string,True,ESRS 2
GOV-1_17,ESRS 2,string,True,ESRS 2
GOV-2_01,ESRS 2,string,True,ESRS 2
GOV-2_02,ESRS 2,string,True,ESRS 2
GOV-2_03,ESRS 2,string,True,ESRS 2
GOV-2_04,ESRS 2,string,True,ESRS 2
GOV-3_01,ESRS 2,string,True,ESRS 2
GOV-3_02,ESRS 2,string,True,ESRS 2
GOV-3_03,ESRS 2,string,True,ESRS 2
GOV-3_04,ESRS 2,string,True,ESRS 2
