conceptId,lang,role,label
esrs_A,en,http://www.xbrl.org/2003/role/label,"A - Agriculture, forestry and fishing"
esrs_A01,en,http://www.xbrl.org/2003/role/label,"A1 - Crop and animal production, hunting and related service activities"
esrs_A011,en,http://www.xbrl.org/2003/role/label,A1.1 - Growing of non-perennial crops
esrs_A0111,en,http://www.xbrl.org/2003/role/label,"A1.1.1 - Growing of cereals (except rice), leguminous crops and oil seeds"
esrs_A0112,en,http://www.xbrl.org/2003/role/label,A1.1.2 - Growing of rice
esrs_A0113,en,http://www.xbrl.org/2003/role/label,"A1.1.3 - Growing of vegetables and melons, roots and tubers"
esrs_A0114,en,http://www.xbrl.org/2003/role/label,A1.1.4 - Growing of sugar cane
esrs_A0115,en,http://www.xbrl.org/2003/role/label,A1.1.5 - Growing of tobacco
esrs_A0116,en,http://www.xbrl.org/2003/role/label,A1.1.6 - Growing of fibre crops
esrs_A0119,en,http://www.xbrl.org/2003/role/label,A1.1.9 - Growing of other non-perennial crops
esrs_A012,en,http://www.xbrl.org/2003/role/label,A1.2 - Growing of perennial crops
esrs_A0121,en,http://www.xbrl.org/2003/role/label,A1.2.1 - Growing of grapes
esrs_A0122,en,http://www.xbrl.org/2003/role/label,A1.2.2 - Growing of tropical and subtropical fruits
esrs_A0123,en,http://www.xbrl.org/2003/role/label,A1.2.3 - Growing of citrus fruits
esrs_A0124,en,http://www.xbrl.org/2003/role/label,A1.2.4 - Growing of pome fruits and stone fruits
esrs_A0125,en,http://www.xbrl.org/2003/role/label,A1.2.5 - Growing of other tree and bush fruits and nuts
esrs_A0126,en,http://www.xbrl.org/2003/role/label,A1.2.6 - Growing of oleaginous fruits
esrs_A0127,en,http://www.xbrl.org/2003/role/label,A1.2.7 - Growing of beverage crops
esrs_A0128,en,http://www.xbrl.org/2003/role/label,"A1.2.8 - Growing of spices, aromatic, drug and pharmaceutical crops"
esrs_A0129,en,http://www.xbrl.org/2003/role/label,A1.2.9 - Growing of other perennial crops
esrs_A013,en,http://www.xbrl.org/2003/role/label,A1.3 - Plant propagation
esrs_A0130,en,http://www.xbrl.org/2003/role/label,A1.3.0 - Plant propagation
esrs_A014,en,http://www.xbrl.org/2003/role/label,A1.4 - Animal production
esrs_A0141,en,http://www.xbrl.org/2003/role/label,A1.4.1 - Raising of dairy cattle
esrs_A0142,en,http://www.xbrl.org/2003/role/label,A1.4.2 - Raising of other cattle and buffaloes
esrs_A0143,en,http://www.xbrl.org/2003/role/label,A1.4.3 - Raising of horses and other equines
esrs_A0144,en,http://www.xbrl.org/2003/role/label,A1.4.4 - Raising of camels and camelids
esrs_A0145,en,http://www.xbrl.org/2003/role/label,A1.4.5 - Raising of sheep and goats
esrs_A0146,en,http://www.xbrl.org/2003/role/label,A1.4.6 - Raising of swine/pigs
esrs_A0147,en,http://www.xbrl.org/2003/role/label,A1.4.7 - Raising of poultry
esrs_A0149,en,http://www.xbrl.org/2003/role/label,A1.4.9 - Raising of other animals
esrs_A015,en,http://www.xbrl.org/2003/role/label,A1.5 - Mixed farming
esrs_A0150,en,http://www.xbrl.org/2003/role/label,A1.5.0 - Mixed farming
esrs_A016,en,http://www.xbrl.org/2003/role/label,A1.6 - Support activities to agriculture and post-harvest crop activities
esrs_A0161,en,http://www.xbrl.org/2003/role/label,A1.6.1 - Support activities for crop production
esrs_A0162,en,http://www.xbrl.org/2003/role/label,A1.6.2 - Support activities for animal production
esrs_A0163,en,http://www.xbrl.org/2003/role/label,A1.6.3 - Post-harvest crop activities
esrs_A0164,en,http://www.xbrl.org/2003/role/label,A1.6.4 - Seed processing for propagation
esrs_A017,en,http://www.xbrl.org/2003/role/label,"A1.7 - Hunting, trapping and related service activities"
esrs_A0170,en,http://www.xbrl.org/2003/role/label,"A1.7.0 - Hunting, trapping and related service activities"
esrs_A02,en,http://www.xbrl.org/2003/role/label,A2 - Forestry and logging
esrs_A021,en,http://www.xbrl.org/2003/role/label,A2.1 - Silviculture and other forestry activities
esrs_A0210,en,http://www.xbrl.org/2003/role/label,A2.1.0 - Silviculture and other forestry activities
esrs_A022,en,http://www.xbrl.org/2003/role/label,A2.2 - Logging
esrs_A0220,en,http://www.xbrl.org/2003/role/label,A2.2.0 - Logging
esrs_A023,en,http://www.xbrl.org/2003/role/label,A2.3 - Gathering of wild growing non-wood products
esrs_A0230,en,http://www.xbrl.org/2003/role/label,A2.3.0 - Gathering of wild growing non-wood products
esrs_A024,en,http://www.xbrl.org/2003/role/label,A2.4 - Support services to forestry
esrs_A0240,en,http://www.xbrl.org/2003/role/label,A2.4.0 - Support services to forestry
esrs_A03,en,http://www.xbrl.org/2003/role/label,A3 - Fishing and aquaculture
