parentId,childId,order
esrs_DisclosureOfResourceUseAndCircularEconomyrelatedTargetsExplanatory,esrs_MinimumDisclosureRequirementTargetsRelatedToResourceUseAndCircularEconomyAbstract,10.0
esrs_MinimumDisclosureRequirementTargetsRelatedToResourceUseAndCircularEconomyAbstract,esrs_MinimumDisclosureRequirementTargetsRelatedToResourceUseAndCircularEconomyTable,10.0
esrs_MinimumDisclosureRequirementTargetsRelatedToResourceUseAndCircularEconomyAbstract,esrs_MinimumDisclosureRequirementTargetsRelatedToResourceUseAndCircularEconomyLineItems,20.0
esrs_MinimumDisclosureRequirementTargetsRelatedToResourceUseAndCircularEconomyLineItems,esrs_DisclosureOfMeasurableOutcomeorientedAndTimeboundTargetExplanatory,10.0
esrs_DisclosureOfMeasurableOutcomeorientedAndTimeboundTargetExplanatory,esrs_DescriptionOfAnyChangesInTargetAndCorrespondingMetricsOrUnderlyingMeasurementMethodologiesSignificantAssumptionsLimitationsSourcesAndAdoptedProcessesToCollectDataExplanatory,170.0
esrs_DisclosureOfMeasurableOutcomeorientedAndTimeboundTargetExplanatory,esrs_DescriptionOfPerformanceAgainstDisclosedTargetExplanatory,180.0
esrs_DescriptionOfPerformanceAgainstDisclosedTargetExplanatory,esrs_ProgressIsInLineWithWhatHadBeenInitiallyPlanned,30.0
esrs_DescriptionOfPerformanceAgainstDisclosedTargetExplanatory,esrs_MeasurableTargetCurrentProgressAbsoluteValue,10.0
esrs_DescriptionOfPerformanceAgainstDisclosedTargetExplanatory,esrs_MeasurableTargetCurrentProgressPercentage,20.0
esrs_DisclosureOfMeasurableOutcomeorientedAndTimeboundTargetExplanatory,esrs_NameOrIdentifierOfRelatedPolicy,30.0
esrs_DisclosureOfMeasurableOutcomeorientedAndTimeboundTargetExplanatory,esrs_TargetRelatedToEnvironmentalMattersIsBasedOnConclusiveScientificEvidence,150.0
esrs_DisclosureOfMeasurableOutcomeorientedAndTimeboundTargetExplanatory,esrs_MeasurableTargetAbsoluteValue,40.0
esrs_DisclosureOfMeasurableOutcomeorientedAndTimeboundTargetExplanatory,esrs_NameOrIdentifierOfRelatedImpactsRisksAndOpportunities,20.0
esrs_DisclosureOfMeasurableOutcomeorientedAndTimeboundTargetExplanatory,esrs_DescriptionOfScopeOfTargetExplanatory,80.0
esrs_DisclosureOfMeasurableOutcomeorientedAndTimeboundTargetExplanatory,esrs_StakeholdersHaveBeenInvolvedInTargetSetting,160.0
esrs_StakeholdersHaveBeenInvolvedInTargetSetting,esrs_DisclosureOfHowStakeholdersHaveBeenInvolvedInTargetSettingExplanatory,10.0
esrs_DisclosureOfMeasurableOutcomeorientedAndTimeboundTargetExplanatory,esrs_BaselineValueOfMeasurableTargetAbsoluteValue,90.0
esrs_DisclosureOfMeasurableOutcomeorientedAndTimeboundTargetExplanatory,esrs_BaseYearFromWhichProgressIsMeasured,110.0
esrs_DisclosureOfMeasurableOutcomeorientedAndTimeboundTargetExplanatory,esrs_PeriodToWhichTargetApplies,120.0
