tag_id,dimension_tag_id,name
esrs_AbsoluteValueOfLocationBasedScope2GreenhouseGasEmissionsReduction,esrs_ScopeDimensionLocationBased,GHGScope
esrs_AbsoluteValueOfMarketBasedScope2GreenhouseGasEmissionsReduction,esrs_ScopeDimensionMarketBased,GHGScope
esrs_AbsoluteValueOfScope1GreenhouseGasEmissionsReduction,esrs_ScopeDimensionScope1,GHGScope
esrs_AbsoluteValueOfScope3GreenhouseGasEmissionsReduction,esrs_ScopeDimensionScope3,GHGScope
esrs_AdequateWagesByCountryAbstract,esrs_GeographicDimensionCountry,Geography
esrs_AdequateWagesByCountryLineItems,esrs_GeographicDimensionCountry,Geography
esrs_AdequateWagesByCountryTable,esrs_GeographicDimensionCountry,Geography
esrs_AdjustmentOfComparativeInformationForOneOrMorePriorPeriodsIsImpracticable,esrs_TimeDimensionPeriod,Time
esrs_BaseYearFromWhichProgressIsMeasured,esrs_TimeDimensionBaseYear,Time
esrs_BiogenicEmissionsOfCO2FromCombustionOrBiodegradationOfBiomassNotIncludedInScope1GHGEmissions,esrs_ScopeDimensionScope1,GHGScope
esrs_BiogenicEmissionsOfCO2FromCombustionOrBiodegradationOfBiomassNotIncludedInScope2GHGEmissions,esrs_ScopeDimensionScope1,GHGScope
esrs_BiogenicEmissionsOfCO2FromCombustionOrBiodegradationOfBiomassThatOccurInUpstreamAndDownstreamValueChainNotIncludedInScope3GHGEmissions,esrs_ScopeDimensionScope3,GHGScope
esrs_BoardsGenderDiversityRatio,esrs_GenderDimensionMale,Gender
esrs_CalibrationTestsOfAmsWereUndertakenAndVerificationOfPeriodicMeasurementByIndependentLabsWasEnsured,esrs_TimeDimensionPeriod,Time
esrs_ChangesInPreparationAndPresentationOfSustainabilityInformationComparedToPreviousReportingPeriodAbstract,esrs_TimeDimensionPeriod,Time
esrs_CharacteristicsOfUndertakingsEmployeesInformationOnEmployeesByContractTypeAndGenderAbstract,esrs_GenderDimensionMale,Gender
esrs_CharacteristicsOfUndertakingsEmployeesInformationOnEmployeesByContractTypeAndGenderLineItems,esrs_GenderDimensionMale,Gender
esrs_CharacteristicsOfUndertakingsEmployeesInformationOnEmployeesByContractTypeAndGenderTable,esrs_GenderDimensionMale,Gender
esrs_CharacteristicsOfUndertakingsEmployeesNumberOfEmployeesByGenderAbstract,esrs_GenderDimension,Gender
esrs_CharacteristicsOfUndertakingsEmployeesNumberOfEmployeesByGenderLineItems,esrs_GenderDimension,Gender
esrs_CharacteristicsOfUndertakingsEmployeesNumberOfEmployeesByGenderTable,esrs_GenderDimension,Gender
esrs_CollectiveBargainingCoverageAndSocialDialogueByCountryEeaAbstract,esrs_GeographicDimensionCountry,Geography
esrs_CollectiveBargainingCoverageAndSocialDialogueByCountryEeaLineItems,esrs_GeographicDimensionCountry,Geography
esrs_CollectiveBargainingCoverageAndSocialDialogueByCountryEeaTable,esrs_GeographicDimensionCountry,Geography
esrs_CollectiveBargainingCoverageByRegionNoneeaAbstract,esrs_GeographicDimensionRegion,Geography
esrs_CollectiveBargainingCoverageByRegionNoneeaLineItems,esrs_GeographicDimensionRegion,Geography
esrs_CollectiveBargainingCoverageByRegionNoneeaTable,esrs_GeographicDimensionRegion,Geography
esrs_DescriptionOfHowProcessToIdentifyAssessAndManageImpactsRisksAndOpportunitiesHasChangedComparedToPriorReportingPeriodExplanatory,esrs_TimeDimensionPeriod,Time
esrs_DescriptionOfPeriodicReportingOfFindingsOfRiskAssessmentAndInternalControlsToAdministrativeManagementAndSupervisoryBodiesInRelationToSustainabilityReportingProcessExplanatory,esrs_TimeDimensionPeriod,Time
esrs_DescriptionOfSignificantGroupsOfProductsAndOrServicesOfferedIncludingChangesInReportingPeriodNewRemovedProductsAndOrServicesExplanatory,esrs_TimeDimensionPeriod,Time
esrs_DescriptionOfSignificantMarketsAndOrCustomerGroupsServedIncludingChangesInReportingPeriodNewRemovedMarketsAndOrCustomerGroupsExplanatory,esrs_TimeDimensionPeriod,Time
esrs_DescriptionOfSustainabilityrelatedGoalsInTermsOfSignificantGroupsOfProductsAndServicesCustomerCategoriesGeographicalAreasAndRelationshipsWithStakeholdersExplanatory,esrs_GeographicDimension,Geography
esrs_DisclosureOfChangesToMaterialImpactsRisksAndOpportunitiesComparedToPreviousReportingPeriodExplanatory,esrs_TimeDimensionPeriod,Time
esrs_DisclosureOfCurrentFinancialEffectsOfMaterialRisksAndOpportunitiesOnFinancialPositionFinancialPerformanceAndCashFlowsAndMaterialRisksAndOpportunitiesForWhichThereIsSignificantRiskOfMaterialAdjustmentWithinNextAnnualReportingPeriodToCarryingAmountsOfAssetsAndLiabilitiesReportedInRelatedFinancialStatementsExplanatory,esrs_TimeDimensionPeriod,Time
esrs_DisclosureOfExtentToWhichScope3GHGEmissionsAreMeasuredUsingInputsFromSpecificActivitiesWithinUpstreamAndDownstreamValueChainExplanatory,esrs_ScopeDimensionScope3,GHGScope
esrs_DisclosureOfGenderDistributionAtTopManagementAndAgeDistributionAmongstEmployeesExplanatory,esrs_GenderDimensionMale,Gender
esrs_DisclosureOfGeographicalScopeOfTargetExplanatory,esrs_GeographicDimension,Geography
esrs_DisclosureOfHowCalibrationTestsOfAmsWereUndertakenAndVerificationOfPeriodicMeasurementByIndependentLabsWasEnsuredExplanatory,esrs_TimeDimensionPeriod,Time
esrs_DisclosureOfHowFarUndertakingHasProgressedInEffortsDuringReportingPeriodExplanatory,esrs_TimeDimensionPeriod,Time
esrs_DisclosureOfListOfMaterialImpactsRisksAndOpportunitiesAddressedByAdministrativeManagementAndSupervisoryBodiesOrTheirRelevantCommitteesDuringReportingPeriodExplanatory,esrs_TimeDimensionPeriod,Time
esrs_DisclosureOfNatureOfPriorPeriodMaterialErrorsExplanatory,esrs_TimeDimensionPeriod,Time
esrs_DisclosureOfPastProgressMadeInMeetingTargetBeforeCurrentBaseYearExplanatory,esrs_TimeDimensionBaseYear,Time
esrs_DisclosureOfPercentageGapInPayBetweenFemaleAndMaleEmployeesAndRatioBetweenRemunerationOfHighestPaidIndividualAndMedianRemunerationForEmployeesExplanatory,esrs_GenderDimensionMale,Gender
esrs_DisclosureOfQuantitativeAndQualitativeInformationRegardingProgressOfActionsOrActionPlansDisclosedInPriorPeriodsExplanatory,esrs_TimeDimensionPeriod,Time
esrs_DisclosureOfReportingBoundariesConsideredAndCalculationMethodsForEstimatingScope3GHGEmissionsCategoryAndIfRelevantCalculationToolsAppliedExplanatory,esrs_ScopeDimensionScope3,GHGScope
