dp_code,tag_id
BP-1_01,esrs_BasisForPreparationOfSustainabilityStatement
BP-1_01,esrs_ChangesInPreparationAndPresentationOfSustainabilityInformationComparedToPreviousReportingPeriodAbstract
BP-1_01,esrs_DescriptionOfBasisForPreparationOfMetricsThatIncludeUpstreamAndOrDownstreamValueChainDataEstimatedUsingIndirectSourcesExplanatory
BP-1_01,esrs_DescriptionOfBasisOfPreparationOfNonemployeesEstimatedNumberExplanatory
BP-1_01,esrs_DisclosureOfGeneralBasisForPreparationOfSustainabilityStatementExplanatory
BP-1_01,esrs_ExplanationOfChangesInPreparationAndPresentationOfSustainabilityInformationAndReasonsForThemExplanatory
BP-1_01,esrs_PreparationForReuseMember
BP-1_02,esrs_BasisForPreparationOfSustainabilityStatement
BP-1_02,esrs_ChangesInPreparationAndPresentationOfSustainabilityInformationComparedToPreviousReportingPeriodAbstract
BP-1_02,esrs_DescriptionOfBasisForPreparationOfMetricsThatIncludeUpstreamAndOrDownstreamValueChainDataEstimatedUsingIndirectSourcesExplanatory
BP-1_02,esrs_DescriptionOfBasisOfPreparationOfNonemployeesEstimatedNumberExplanatory
BP-1_02,esrs_DisclosureOfGeneralBasisForPreparationOfSustainabilityStatementExplanatory
BP-1_02,esrs_ExplanationOfChangesInPreparationAndPresentationOfSustainabilityInformationAndReasonsForThemExplanatory
BP-1_02,esrs_PreparationForReuseMember
BP-1_03,esrs_BasisForPreparationOfSustainabilityStatement
BP-1_03,esrs_ChangesInPreparationAndPresentationOfSustainabilityInformationComparedToPreviousReportingPeriodAbstract
BP-1_03,esrs_DescriptionOfBasisForPreparationOfMetricsThatIncludeUpstreamAndOrDownstreamValueChainDataEstimatedUsingIndirectSourcesExplanatory
BP-1_03,esrs_DescriptionOfBasisOfPreparationOfNonemployeesEstimatedNumberExplanatory
BP-1_03,esrs_DisclosureOfGeneralBasisForPreparationOfSustainabilityStatementExplanatory
BP-1_03,esrs_ExplanationOfChangesInPreparationAndPresentationOfSustainabilityInformationAndReasonsForThemExplanatory
BP-1_03,esrs_PreparationForReuseMember
BP-1_04,esrs_BasisForPreparationOfSustainabilityStatement
BP-1_04,esrs_ChangesInPreparationAndPresentationOfSustainabilityInformationComparedToPreviousReportingPeriodAbstract
BP-1_04,esrs_DescriptionOfBasisForPreparationOfMetricsThatIncludeUpstreamAndOrDownstreamValueChainDataEstimatedUsingIndirectSourcesExplanatory
BP-1_04,esrs_DescriptionOfBasisOfPreparationOfNonemployeesEstimatedNumberExplanatory
BP-1_04,esrs_DisclosureOfGeneralBasisForPreparationOfSustainabilityStatementExplanatory
BP-1_04,esrs_ExplanationOfChangesInPreparationAndPresentationOfSustainabilityInformationAndReasonsForThemExplanatory
BP-1_04,esrs_PreparationForReuseMember
BP-1_05,esrs_BasisForPreparationOfSustainabilityStatement
BP-1_05,esrs_ChangesInPreparationAndPresentationOfSustainabilityInformationComparedToPreviousReportingPeriodAbstract
BP-1_05,esrs_DescriptionOfBasisForPreparationOfMetricsThatIncludeUpstreamAndOrDownstreamValueChainDataEstimatedUsingIndirectSourcesExplanatory
BP-1_05,esrs_DescriptionOfBasisOfPreparationOfNonemployeesEstimatedNumberExplanatory
BP-1_05,esrs_DisclosureOfGeneralBasisForPreparationOfSustainabilityStatementExplanatory
BP-1_05,esrs_ExplanationOfChangesInPreparationAndPresentationOfSustainabilityInformationAndReasonsForThemExplanatory
BP-1_05,esrs_PreparationForReuseMember
BP-1_06,esrs_BasisForPreparationOfSustainabilityStatement
BP-1_06,esrs_ChangesInPreparationAndPresentationOfSustainabilityInformationComparedToPreviousReportingPeriodAbstract
BP-1_06,esrs_DescriptionOfBasisForPreparationOfMetricsThatIncludeUpstreamAndOrDownstreamValueChainDataEstimatedUsingIndirectSourcesExplanatory
BP-1_06,esrs_DescriptionOfBasisOfPreparationOfNonemployeesEstimatedNumberExplanatory
BP-1_06,esrs_DisclosureOfGeneralBasisForPreparationOfSustainabilityStatementExplanatory
BP-1_06,esrs_ExplanationOfChangesInPreparationAndPresentationOfSustainabilityInformationAndReasonsForThemExplanatory
BP-1_06,esrs_PreparationForReuseMember
BP-2_01,esrs_BasisForPreparationOfSustainabilityStatement
BP-2_01,esrs_ChangesInPreparationAndPresentationOfSustainabilityInformationComparedToPreviousReportingPeriodAbstract
BP-2_01,esrs_DescriptionOfBasisForPreparationOfMetricsThatIncludeUpstreamAndOrDownstreamValueChainDataEstimatedUsingIndirectSourcesExplanatory
BP-2_01,esrs_DescriptionOfBasisOfPreparationOfNonemployeesEstimatedNumberExplanatory
BP-2_01,esrs_DisclosureOfGeneralBasisForPreparationOfSustainabilityStatementExplanatory
BP-2_01,esrs_ExplanationOfChangesInPreparationAndPresentationOfSustainabilityInformationAndReasonsForThemExplanatory
BP-2_01,esrs_PreparationForReuseMember
BP-2_02,esrs_BasisForPreparationOfSustainabilityStatement
BP-2_02,esrs_ChangesInPreparationAndPresentationOfSustainabilityInformationComparedToPreviousReportingPeriodAbstract
BP-2_02,esrs_DescriptionOfBasisForPreparationOfMetricsThatIncludeUpstreamAndOrDownstreamValueChainDataEstimatedUsingIndirectSourcesExplanatory
BP-2_02,esrs_DescriptionOfBasisOfPreparationOfNonemployeesEstimatedNumberExplanatory
BP-2_02,esrs_DisclosureOfGeneralBasisForPreparationOfSustainabilityStatementExplanatory
BP-2_02,esrs_ExplanationOfChangesInPreparationAndPresentationOfSustainabilityInformationAndReasonsForThemExplanatory
BP-2_02,esrs_PreparationForReuseMember
BP-2_03,esrs_BasisForPreparationOfSustainabilityStatement
BP-2_03,esrs_ChangesInPreparationAndPresentationOfSustainabilityInformationComparedToPreviousReportingPeriodAbstract
BP-2_03,esrs_DescriptionOfBasisForPreparationOfMetricsThatIncludeUpstreamAndOrDownstreamValueChainDataEstimatedUsingIndirectSourcesExplanatory
BP-2_03,esrs_DescriptionOfBasisOfPreparationOfNonemployeesEstimatedNumberExplanatory
BP-2_03,esrs_DisclosureOfGeneralBasisForPreparationOfSustainabilityStatementExplanatory
BP-2_03,esrs_ExplanationOfChangesInPreparationAndPresentationOfSustainabilityInformationAndReasonsForThemExplanatory
BP-2_03,esrs_PreparationForReuseMember
BP-2_04,esrs_BasisForPreparationOfSustainabilityStatement
BP-2_04,esrs_ChangesInPreparationAndPresentationOfSustainabilityInformationComparedToPreviousReportingPeriodAbstract
BP-2_04,esrs_DescriptionOfBasisForPreparationOfMetricsThatIncludeUpstreamAndOrDownstreamValueChainDataEstimatedUsingIndirectSourcesExplanatory
BP-2_04,esrs_DescriptionOfBasisOfPreparationOfNonemployeesEstimatedNumberExplanatory
BP-2_04,esrs_DisclosureOfGeneralBasisForPreparationOfSustainabilityStatementExplanatory
BP-2_04,esrs_ExplanationOfChangesInPreparationAndPresentationOfSustainabilityInformationAndReasonsForThemExplanatory
BP-2_04,esrs_PreparationForReuseMember
BP-2_05,esrs_BasisForPreparationOfSustainabilityStatement
BP-2_05,esrs_ChangesInPreparationAndPresentationOfSustainabilityInformationComparedToPreviousReportingPeriodAbstract
BP-2_05,esrs_DescriptionOfBasisForPreparationOfMetricsThatIncludeUpstreamAndOrDownstreamValueChainDataEstimatedUsingIndirectSourcesExplanatory
BP-2_05,esrs_DescriptionOfBasisOfPreparationOfNonemployeesEstimatedNumberExplanatory
BP-2_05,esrs_DisclosureOfGeneralBasisForPreparationOfSustainabilityStatementExplanatory
BP-2_05,esrs_ExplanationOfChangesInPreparationAndPresentationOfSustainabilityInformationAndReasonsForThemExplanatory
BP-2_05,esrs_PreparationForReuseMember
BP-2_06,esrs_BasisForPreparationOfSustainabilityStatement
BP-2_06,esrs_ChangesInPreparationAndPresentationOfSustainabilityInformationComparedToPreviousReportingPeriodAbstract
BP-2_06,esrs_DescriptionOfBasisForPreparationOfMetricsThatIncludeUpstreamAndOrDownstreamValueChainDataEstimatedUsingIndirectSourcesExplanatory
BP-2_06,esrs_DescriptionOfBasisOfPreparationOfNonemployeesEstimatedNumberExplanatory
BP-2_06,esrs_DisclosureOfGeneralBasisForPreparationOfSustainabilityStatementExplanatory
BP-2_06,esrs_ExplanationOfChangesInPreparationAndPresentationOfSustainabilityInformationAndReasonsForThemExplanatory
BP-2_06,esrs_PreparationForReuseMember
BP-2_07,esrs_BasisForPreparationOfSustainabilityStatement
BP-2_07,esrs_ChangesInPreparationAndPresentationOfSustainabilityInformationComparedToPreviousReportingPeriodAbstract
BP-2_07,esrs_DescriptionOfBasisForPreparationOfMetricsThatIncludeUpstreamAndOrDownstreamValueChainDataEstimatedUsingIndirectSourcesExplanatory
BP-2_07,esrs_DescriptionOfBasisOfPreparationOfNonemployeesEstimatedNumberExplanatory
BP-2_07,esrs_DisclosureOfGeneralBasisForPreparationOfSustainabilityStatementExplanatory
BP-2_07,esrs_ExplanationOfChangesInPreparationAndPresentationOfSustainabilityInformationAndReasonsForThemExplanatory
BP-2_07,esrs_PreparationForReuseMember
BP-2_08,esrs_BasisForPreparationOfSustainabilityStatement
BP-2_08,esrs_ChangesInPreparationAndPresentationOfSustainabilityInformationComparedToPreviousReportingPeriodAbstract
BP-2_08,esrs_DescriptionOfBasisForPreparationOfMetricsThatIncludeUpstreamAndOrDownstreamValueChainDataEstimatedUsingIndirectSourcesExplanatory
BP-2_08,esrs_DescriptionOfBasisOfPreparationOfNonemployeesEstimatedNumberExplanatory
BP-2_08,esrs_DisclosureOfGeneralBasisForPreparationOfSustainabilityStatementExplanatory
BP-2_08,esrs_ExplanationOfChangesInPreparationAndPresentationOfSustainabilityInformationAndReasonsForThemExplanatory
BP-2_08,esrs_PreparationForReuseMember
BP-2_09,esrs_BasisForPreparationOfSustainabilityStatement
BP-2_09,esrs_ChangesInPreparationAndPresentationOfSustainabilityInformationComparedToPreviousReportingPeriodAbstract
BP-2_09,esrs_DescriptionOfBasisForPreparationOfMetricsThatIncludeUpstreamAndOrDownstreamValueChainDataEstimatedUsingIndirectSourcesExplanatory
BP-2_09,esrs_DescriptionOfBasisOfPreparationOfNonemployeesEstimatedNumberExplanatory
BP-2_09,esrs_DisclosureOfGeneralBasisForPreparationOfSustainabilityStatementExplanatory
BP-2_09,esrs_ExplanationOfChangesInPreparationAndPresentationOfSustainabilityInformationAndReasonsForThemExplanatory
BP-2_09,esrs_PreparationForReuseMember
BP-2_10,esrs_BasisForPreparationOfSustainabilityStatement
BP-2_10,esrs_ChangesInPreparationAndPresentationOfSustainabilityInformationComparedToPreviousReportingPeriodAbstract
BP-2_10,esrs_DescriptionOfBasisForPreparationOfMetricsThatIncludeUpstreamAndOrDownstreamValueChainDataEstimatedUsingIndirectSourcesExplanatory
BP-2_10,esrs_DescriptionOfBasisOfPreparationOfNonemployeesEstimatedNumberExplanatory
BP-2_10,esrs_DisclosureOfGeneralBasisForPreparationOfSustainabilityStatementExplanatory
BP-2_10,esrs_ExplanationOfChangesInPreparationAndPresentationOfSustainabilityInformationAndReasonsForThemExplanatory
BP-2_10,esrs_PreparationForReuseMember
BP-2_11,esrs_BasisForPreparationOfSustainabilityStatement
BP-2_11,esrs_ChangesInPreparationAndPresentationOfSustainabilityInformationComparedToPreviousReportingPeriodAbstract
BP-2_11,esrs_DescriptionOfBasisForPreparationOfMetricsThatIncludeUpstreamAndOrDownstreamValueChainDataEstimatedUsingIndirectSourcesExplanatory
BP-2_11,esrs_DescriptionOfBasisOfPreparationOfNonemployeesEstimatedNumberExplanatory
BP-2_11,esrs_DisclosureOfGeneralBasisForPreparationOfSustainabilityStatementExplanatory
BP-2_11,esrs_ExplanationOfChangesInPreparationAndPresentationOfSustainabilityInformationAndReasonsForThemExplanatory
BP-2_11,esrs_PreparationForReuseMember
BP-2_12,esrs_BasisForPreparationOfSustainabilityStatement
BP-2_12,esrs_ChangesInPreparationAndPresentationOfSustainabilityInformationComparedToPreviousReportingPeriodAbstract
BP-2_12,esrs_DescriptionOfBasisForPreparationOfMetricsThatIncludeUpstreamAndOrDownstreamValueChainDataEstimatedUsingIndirectSourcesExplanatory
BP-2_12,esrs_DescriptionOfBasisOfPreparationOfNonemployeesEstimatedNumberExplanatory
BP-2_12,esrs_DisclosureOfGeneralBasisForPreparationOfSustainabilityStatementExplanatory
BP-2_12,esrs_ExplanationOfChangesInPreparationAndPresentationOfSustainabilityInformationAndReasonsForThemExplanatory
BP-2_12,esrs_PreparationForReuseMember
BP-2_13,esrs_BasisForPreparationOfSustainabilityStatement
BP-2_13,esrs_ChangesInPreparationAndPresentationOfSustainabilityInformationComparedToPreviousReportingPeriodAbstract
BP-2_13,esrs_DescriptionOfBasisForPreparationOfMetricsThatIncludeUpstreamAndOrDownstreamValueChainDataEstimatedUsingIndirectSourcesExplanatory
BP-2_13,esrs_DescriptionOfBasisOfPreparationOfNonemployeesEstimatedNumberExplanatory
BP-2_13,esrs_DisclosureOfGeneralBasisForPreparationOfSustainabilityStatementExplanatory
BP-2_13,esrs_ExplanationOfChangesInPreparationAndPresentationOfSustainabilityInformationAndReasonsForThemExplanatory
BP-2_13,esrs_PreparationForReuseMember
BP-2_14,esrs_BasisForPreparationOfSustainabilityStatement
BP-2_14,esrs_ChangesInPreparationAndPresentationOfSustainabilityInformationComparedToPreviousReportingPeriodAbstract
BP-2_14,esrs_DescriptionOfBasisForPreparationOfMetricsThatIncludeUpstreamAndOrDownstreamValueChainDataEstimatedUsingIndirectSourcesExplanatory
BP-2_14,esrs_DescriptionOfBasisOfPreparationOfNonemployeesEstimatedNumberExplanatory
BP-2_14,esrs_DisclosureOfGeneralBasisForPreparationOfSustainabilityStatementExplanatory
BP-2_14,esrs_ExplanationOfChangesInPreparationAndPresentationOfSustainabilityInformationAndReasonsForThemExplanatory
BP-2_14,esrs_PreparationForReuseMember
BP-2_15,esrs_BasisForPreparationOfSustainabilityStatement
BP-2_15,esrs_ChangesInPreparationAndPresentationOfSustainabilityInformationComparedToPreviousReportingPeriodAbstract
BP-2_15,esrs_DescriptionOfBasisForPreparationOfMetricsThatIncludeUpstreamAndOrDownstreamValueChainDataEstimatedUsingIndirectSourcesExplanatory
BP-2_15,esrs_DescriptionOfBasisOfPreparationOfNonemployeesEstimatedNumberExplanatory
BP-2_15,esrs_DisclosureOfGeneralBasisForPreparationOfSustainabilityStatementExplanatory
BP-2_15,esrs_ExplanationOfChangesInPreparationAndPresentationOfSustainabilityInformationAndReasonsForThemExplanatory
BP-2_15,esrs_PreparationForReuseMember
BP-2_16,esrs_BasisForPreparationOfSustainabilityStatement
BP-2_16,esrs_ChangesInPreparationAndPresentationOfSustainabilityInformationComparedToPreviousReportingPeriodAbstract
BP-2_16,esrs_DescriptionOfBasisForPreparationOfMetricsThatIncludeUpstreamAndOrDownstreamValueChainDataEstimatedUsingIndirectSourcesExplanatory
BP-2_16,esrs_DescriptionOfBasisOfPreparationOfNonemployeesEstimatedNumberExplanatory
