tag_id,qname,abstract,periodType
esrs_AbilityToImplementActionOrActionPlanDependsOnSpecificPreconditions,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AbilityToImplementActionOrActionPlanDependsOnSpecificPreconditions,False,duration
esrs_AbsoluteOrRelativeTarget,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AbsoluteOrRelativeTarget,False,duration
esrs_AbsoluteValueOfLocationBasedScope2GreenhouseGasEmissionsReduction,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AbsoluteValueOfLocationBasedScope2GreenhouseGasEmissionsReduction,False,duration
esrs_AbsoluteValueOfMarketBasedScope2GreenhouseGasEmissionsReduction,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AbsoluteValueOfMarketBasedScope2GreenhouseGasEmissionsReduction,False,duration
esrs_AbsoluteValueOfScope1GreenhouseGasEmissionsReduction,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AbsoluteValueOfScope1GreenhouseGasEmissionsReduction,False,duration
esrs_AbsoluteValueOfScope3GreenhouseGasEmissionsReduction,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AbsoluteValueOfScope3GreenhouseGasEmissionsReduction,False,duration
esrs_AbsoluteValueOfTotalGreenhouseGasEmissionsReduction,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AbsoluteValueOfTotalGreenhouseGasEmissionsReduction,False,duration
esrs_AccessibilityOfThirdPartyMechanismsForAffectedCommunities,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AccessibilityOfThirdPartyMechanismsForAffectedCommunities,False,duration
esrs_AccessibilityOfThirdPartyMechanismsForConsumersAndEndusers,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AccessibilityOfThirdPartyMechanismsForConsumersAndEndusers,False,duration
esrs_AccessibilityOfThirdPartyMechanismsForOwnWorkforce,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AccessibilityOfThirdPartyMechanismsForOwnWorkforce,False,duration
esrs_AccessibilityOfThirdPartyMechanismsForValueChainWorkers,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AccessibilityOfThirdPartyMechanismsForValueChainWorkers,False,duration
esrs_AchievedGHGEmissionReductions,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AchievedGHGEmissionReductions,False,duration
esrs_ActionCoversActionsTakenToPreventWasteGenerationInUpstreamAndDownstreamValueChain,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_ActionCoversActionsTakenToPreventWasteGenerationInUpstreamAndDownstreamValueChain,False,duration
esrs_ActionCoversApplicationOfCircularBusinessPractices,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_ActionCoversApplicationOfCircularBusinessPractices,False,duration
esrs_ActionCoversApplicationOfCircularDesignAndHigherRatesOfReuseRepairRefurbishingRemanufactureRepurposingAndRecycling,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_ActionCoversApplicationOfCircularDesignAndHigherRatesOfReuseRepairRefurbishingRemanufactureRepurposingAndRecycling,False,duration
esrs_ActionCoversHigherLevelsOfResourceEfficiencyInUseOfTechnicalAndBiologicalMaterialsAndWater,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_ActionCoversHigherLevelsOfResourceEfficiencyInUseOfTechnicalAndBiologicalMaterialsAndWater,False,duration
esrs_ActionCoversHigherRatesOfUseOfSecondaryRawMaterialsRecyclates,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_ActionCoversHigherRatesOfUseOfSecondaryRawMaterialsRecyclates,False,duration
esrs_ActionCoversOptimisationOfWasteManagementInLineWithWasteHierarchy,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_ActionCoversOptimisationOfWasteManagementInLineWithWasteHierarchy,False,duration
esrs_ActionIsTakenToAvoidCausingOrContributingToMaterialNegativeImpactsOnValueChainWorkersNOAffectedCommunitiesNOConsumersAndEndusersThroughOwnPractices,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_ActionIsTakenToAvoidCausingOrContributingToMaterialNegativeImpactsOnValueChainWorkersNOAffectedCommunitiesNOConsumersAndEndusersThroughOwnPractices,False,duration
esrs_ActionRelatesToAreasAtWaterRisk,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_ActionRelatesToAreasAtWaterRisk,False,duration
esrs_ActionRelatesToAreasOfHighwaterStress,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_ActionRelatesToAreasOfHighwaterStress,False,duration
esrs_ActionToProvideOrEnableRemedyInRelationToActualMaterialImpactOnOwnWorkforceValueChainWorkersAffectedCommunitiesConsumersAndEndUsersHasBeenTaken,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_ActionToProvideOrEnableRemedyInRelationToActualMaterialImpactOnOwnWorkforceValueChainWorkersAffectedCommunitiesConsumersAndEndUsersHasBeenTaken,False,duration
esrs_ActivitiesAreSubjectToIndustrialEmissionDirectiveIedAndRelevantBestAvailableTechniquesReferenceDocumentsBrefs,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_ActivitiesAreSubjectToIndustrialEmissionDirectiveIedAndRelevantBestAvailableTechniquesReferenceDocumentsBrefs,False,duration
esrs_ActivitiesRelatedToSitesLocatedInOrNearBiodiversitysensitiveAreasNegativelyAffectTheseAreasByLeadingToDeteriorationOfNaturalHabitatsAndHabitatsOfSpeciesAndToDisturbanceOfSpeciesForWhichProtectedAreaHasBeenDesignated,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_ActivitiesRelatedToSitesLocatedInOrNearBiodiversitysensitiveAreasNegativelyAffectTheseAreasByLeadingToDeteriorationOfNaturalHabitatsAndHabitatsOfSpeciesAndToDisturbanceOfSpeciesForWhichProtectedAreaHasBeenDesignated,False,duration
esrs_ActualAndPotentialImpactsOnBiodiversityAndEcosystemsAtOwnSiteLocationsAndInUpstreamAndDownstreamValueChainHaveBeenIdentifiedAndAssessed,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_ActualAndPotentialImpactsOnBiodiversityAndEcosystemsAtOwnSiteLocationsAndInUpstreamAndDownstreamValueChainHaveBeenIdentifiedAndAssessed,False,duration
esrs_ActualAndPotentialImpactsOnOwnWorkforceValueChainWorkersAffectedCommunitiesConsumersAndEndusersInformAndContributeToAdaptingStrategyAndBusinessModel,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_ActualAndPotentialImpactsOnOwnWorkforceValueChainWorkersAffectedCommunitiesConsumersAndEndusersInformAndContributeToAdaptingStrategyAndBusinessModel,False,duration
esrs_ActualAndPotentialImpactsOnOwnWorkforceValueChainWorkersAffectedCommunitiesConsumersAndEndusersOriginateFromOrAreConnectedToStrategyAndBusinessModels,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_ActualAndPotentialImpactsOnOwnWorkforceValueChainWorkersAffectedCommunitiesConsumersAndEndusersOriginateFromOrAreConnectedToStrategyAndBusinessModels,False,duration
esrs_AdaptationSolutionType,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdaptationSolutionType,False,duration
esrs_AdequateWagesAbstract,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdequateWagesAbstract,False,duration
esrs_AdequateWagesByCountryAbstract,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdequateWagesByCountryAbstract,False,duration
esrs_AdequateWagesByCountryLineItems,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdequateWagesByCountryLineItems,False,duration
esrs_AdequateWagesByCountryTable,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdequateWagesByCountryTable,False,duration
esrs_AdequateWagesGeneralAbstract,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdequateWagesGeneralAbstract,False,duration
esrs_AdequateWagesLineItems,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdequateWagesLineItems,False,duration
esrs_AdequateWagesTable,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdequateWagesTable,False,duration
esrs_AdjustingItemsToAssetsAtMaterialPhysicalRisk,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdjustingItemsToAssetsAtMaterialPhysicalRisk,False,duration
esrs_AdjustingItemsToAssetsAtMaterialTransitionRisk,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdjustingItemsToAssetsAtMaterialTransitionRisk,False,duration
esrs_AdjustingItemsToLiabilitiesAtMaterialTransitionRisk,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdjustingItemsToLiabilitiesAtMaterialTransitionRisk,False,duration
esrs_AdjustingItemsToNetRevenueAtMaterialPhysicalRisk,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdjustingItemsToNetRevenueAtMaterialPhysicalRisk,False,duration
esrs_AdjustingItemsToNetRevenueAtMaterialTransitionRisk,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdjustingItemsToNetRevenueAtMaterialTransitionRisk,False,duration
esrs_AdjustmentOfComparativeInformationForOneOrMorePriorPeriodsIsImpracticable,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdjustmentOfComparativeInformationForOneOrMorePriorPeriodsIsImpracticable,False,duration
esrs_AdjustmentsToPhysicalEnvironmentToEnsureHealthAndSafetyForWorkersCustomersAndOtherVisitorsWithDisabilitiesHaveBeenMade,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AdjustmentsToPhysicalEnvironmentToEnsureHealthAndSafetyForWorkersCustomersAndOtherVisitorsWithDisabilitiesHaveBeenMade,False,duration
